                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                0.63954,                0.33077,                 0.9517,                0.88303,                 0.8464,                0.88874,                0.63101,                 1.2358,                0.71393,                  1.339,               0.000826,               0.000826,               0.000826
                    142,                0.62013,                 0.3194,                0.94244,                 0.8828,                0.84976,                0.88929,                0.63172,                 1.2347,                0.71332,                 1.3385,                0.00076,                0.00076,                0.00076
                    143,                0.60408,                0.31124,                0.93446,                0.88247,                0.85237,                0.88927,                0.63205,                 1.2335,                0.71132,                 1.3383,               0.000694,               0.000694,               0.000694
                    144,                0.60261,                0.31014,                0.93557,                0.88191,                0.85292,                0.88887,                0.63182,                 1.2322,                 0.7111,                 1.3376,               0.000628,               0.000628,               0.000628
                    145,                0.59886,                 0.3076,                0.93522,                 0.8813,                0.85311,                 0.8889,                 0.6314,                 1.2325,                0.71062,                 1.3381,               0.000562,               0.000562,               0.000562
                    146,                0.58742,                0.30417,                 0.9251,                0.88514,                0.85097,                 0.8895,                0.63201,                 1.2316,                0.70844,                 1.3381,               0.000496,               0.000496,               0.000496
                    147,                0.58625,                 0.3027,                0.93015,                0.88419,                0.85376,                0.89032,                0.63257,                 1.2311,                0.70782,                 1.3382,                0.00043,                0.00043,                0.00043
                    148,                0.58104,                0.30034,                  0.928,                0.88419,                0.85376,                0.89075,                0.63317,                 1.2309,                0.70711,                 1.3388,               0.000364,               0.000364,               0.000364
                    149,                0.57221,                0.29777,                0.92475,                0.88222,                0.85446,                 0.8904,                0.63286,                 1.2297,                0.70503,                 1.3385,               0.000298,               0.000298,               0.000298
                    150,                 0.5739,                0.29796,                0.92437,                0.88695,                0.84684,                0.89071,                0.63332,                 1.2294,                0.70376,                 1.3386,               0.000232,               0.000232,               0.000232
